"",Ansar_al-Islam,Ansar_al-Sunnah,DHKP-C,Fatah,Former-Iraqi_Ba'athists,Hamas,Hezbollah,JI,JeM,LTTE,LeJ,PFLP,PIJ,RSMB,Taliban,Unknown_in_Iraq,Unknown_in_Pakistan,al-Asssirat_al-Moustaquim,al-Medinah_Regiment,al-Qaeda,al-Tawhid_wal-Jihad
Ansar_al-Islam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ansar_al-Sunnah,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DHKP-C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatah,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Former-Iraqi_Ba'athists,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamas,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Hezbollah,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JeM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
LTTE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LeJ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
PFLP,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PIJ,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RSMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Taliban,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Unknown_in_Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Unknown_in_Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
al-Asssirat_al-Moustaquim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
al-Medinah_Regiment,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
al-Qaeda,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1
al-Tawhid_wal-Jihad,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
