"",DHKP-C,Fatah,Hamas,IMU,Islami_Chhatra_Shibir,JI,JeM,LTTE,LeT,PFLP,PIJ,SPIR,Taliban,Unknown_in_China,al-Qaeda
DHKP-C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatah,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Hamas,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
IMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Islami_Chhatra_Shibir,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JeM,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LTTE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LeT,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PFLP,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
PIJ,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
SPIR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Taliban,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Unknown_in_China,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
al-Qaeda,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
